Model,Train_R2,Test_R2,MAE,RMSE,CV_R2_Mean,CV_R2_STD
GradientBoosting,0.9807656764581973,0.9623560119450251,147.14098775802535,253.27177499995517,0.8952021022894238,0.04966470106873123
PowerLawExp,0.8360993428154567,0.8860104384620792,268.21789870194414,440.7288925108343,0.8095932545776728,0.07037205163789191
PolynomialRegression_deg2,0.7801493091883152,0.7900750345687932,372.08797094787656,598.0961760425902,-15.419879717781885,29.330926831090114
LinearRegression,0.6121438839934545,0.7036388890895584,482.23012015254346,710.6398993666583,0.5098271652365096,0.098494851890791
