Model,Test_R2,MAE,RMSE
SingleElasticNetEquation,0.8275371074370353,431.6804824506623,589.4815264044912
PiecewiseElasticNetEquation,0.8582167959475483,370.3744621398544,534.484062449733
GradientBoosting,0.9706317651113286,185.07552483780964,243.25472735341341
